source,target
"visual aura, severe headache and sensitivity to light",migraine
"runny nose, nasal congestion, itchy eyes and sneezing",allergic_rhinitis
"sleep disturbance, persistent sadness, loss of interest",depression
"weight loss, loss of interest and sleep disturbance",depression
"burning urination, cough, urgency and lower abdominal pain",urinary_tract_infection
rapid heartbeat,anxiety
"sneezing, shortness of breath, left arm pain",heart_disease
"chest pain, shortness of breath, productive cough, persistent cough, mucus, fever",pneumonia
"red patches, chills, dry skin, b",eczema
"burning urination, lower abdominal pain, frequent urination, urgency",urinary_tract_infection
"chest discomfort, persistent cough, shortness of breath, mucus for a week",bronchitis
"loss of taste, fever and fatigue since yesterday",covid-19
"Patient reports nasal congestion, sneezing, mild cough, runny nose",common_cold
"mild weight loss, blisters, itchy skin",diabetes
"severe nasal congestion, sneezing, chills, cough, itchy eyes, runny nose",allergic_rhinitis
productive cough,pneumonia
"Complains of shortness of breath, chest pain for a week",heart_disease
vomiting,gastroenteritis
itchy skin,eczema
"fever, chest pain and shortness of breath",pneumonia
"fatigue, loss of taste, loss of smell, fever, dry cough for a week",covid-19
"mild cough, pale skin, fatigue, runny nose, sneezing, nasal congestion since yesterday",common_cold
"severe mucus, chest discomfort, persistent cough",bronchitis
"I have mild wheezing, shortness of breath for several months",asthma
"rapid heartbeat, frequent urination and weight loss",diabetes
restlessness,anxiety
"hearing difficulty, ear pain, ear drainage, fever since yesterday",otitis_media
"severe headache, visual aura, nausea, sensitivity to light",migraine
"I have chest pain, fractures, left arm pain",heart_disease
"rapid heartbeat, restlessness, shortness of breath, sweating, trembling, chest discomfort",anxiety
"nausea, fever, loss of appetite",appendicitis
"nosebleed, fever, headache",hypertension
"shortness of breath, mucus",bronchitis
"dizziness, nosebleed, blurred vision, headache",hypertension
"fatigue, weight loss, increased thirst, blurred vision, frequent urination and blurred vision",diabetes
hearing difficulty,otitis_media
"nasal congestion, mild cough, fever, runny nose",common_cold
"diarrhea, vomiting, nausea, stomach cramp",gastroenteritis
"nasal congestion, runny nose, sneezing",allergic_rhinitis
shortness of breath,anemia
"shortness of breath, wheezing, chest tightness",asthma
"fever, chest pain",pneumonia
"fatigue, pale skin",anemia
nosebleed,hypertension
"nausea, visual aura, sensitivity to light and severe headache",migraine
"fever, hearing difficulty and ear pain for 2 days",otitis_media
chest pain,pneumonia
fever,appendicitis
"Patient reports chest tightness, shortness of breath",asthma
"trembling, rapid heartbeat, fever, chest pain, productive cough and shortness of brea",pneumonia
nosebleed,hypertension
"runny nose, itchy eyes, lower abdominal pain, sneezing, nasal congestion since yesterday",allergic_rhinitis
"shortness of breath, dizziness",anemia
"fever, loss of appetite, right lower ",appendicitis
sneezing,allergic_rhinitis
"loss of appetite, chest pain, right lower abdominal pain for a week",appendicitis
"lower abdominal pain, urgency",urinary_tract_infection
"moderate loss of height, back pain",osteoporosis
fatigue since yesterday,diabetes
"cough, fever, chills, nasal congestion, sore throat and body ache",influenza
"moderate chest pain, shortness of breath and sweating",heart_disease
"blurred vision, nosebleed since yesterday",hypertension
"severe loss of appetite, right lower abdominal pain, fever",appendicitis
sleep disturbance,depression
"I have wheezing, cough, fever, chills, night cough, fatigue",influenza
"Complains of sleep disturbance, nasal congestion, fatigue, sneezing, runny nose and itchy eyes",allergic_rhinitis
"right lower abdominal pain, fever, loss of appetite and nausea",appendicitis
"I have mild shortness of breath, persistent cough, chest discomfort",bronchitis
"blurred vision, dizziness, nosebleed, headache for several months",hypertension
"shortness of breath, dizziness",anemia
"night cough, shortness of brea",asthma
"fractures, back pain, loss of height and bone pain",osteoporosis
"shortness of breath, fever, fatigue, productive cough, shortness of breath, chest pain",pneumonia
"runny nose, mild cough and sneezi",common_cold
"pale skin, shortness of breath and fractures",anemia
itchy skin for several months,migraine
"shortness of breath, left arm pain, chest pain, sweating",heart_disease
itchy eyes since yesterday,allergic_rhinitis
"nausea, stomach cramps, vomiting for several months",gastroenteritis
"fever, wheezing, chest tightness, shortness of breath, shortness of breath, night cough",asthma
"mild weight loss, blurred vision",diabetes
"shortness of breath, shortness ",asthma
"I have fatigue, stomach cramps, cough",influenza
"severe nausea, loss of appetite",diabetes
"blisters, red patches, dry ski",eczema
"Patient reports persistent cough, mucus, chest discomfort",bronchitis
"severe bone pain, fractures",osteoporosis
"shortness of breath, pale skin, dizziness, fatig",anemia
"shortness of breath, left arm pain, sweating",heart_disease
"sneezing, nasal congestion, runny nose",common_cold
"shortness of breath, left arm pain, sweating",heart_disease
ear drainage,otitis_media
"itchy eyes, sneezing, nasal congestion and runny nose",allergic_rhinitis
blurred vision,diabetes
"nosebleed, blurred vision",hypertension
mild red patches,eczema
sneezing and dry cough,common_cold
dizziness and pale skin,anemia
"nasal congestion, lower abdominal pain, urgency",urinary_tract_infection
"runny nose, mild cough",common_cold
"mild right lower abdominal pain, fever, nausea",appendicitis
"frequent urination, nasal congestion, sneezing",diabetes
"mucus, chest discomfort, persistent cough, shortness of breath",bronchitis
Patient reports persistent cough,allergic_rhinitis
Patient reports frequent urination and weight loss for a week,diabetes
severe shortness of breath for a week,pneumonia
"headache, blurred vision, nosebleed, dizziness",hypertension
"sneezing, frequent urination, weight loss, blurred vision, fatigue",diabetes
"Complains of nosebleed, dizziness",hypertension
I have stomach cramps,gastroenteritis
"nausea, burning urination and stomach cramps",gastroenteritis
"rapid heartbeat, sweating and restlessness",anxiety
"fractures, itchy eyes, loss of height, back pain, bone pain",osteoporosis
"nasal congestion, runny nose, mild cough, increased thirst, sneezing and blurred vision",common_cold
"severe diarrhea, stomach cramps, nausea",gastroenteritis
sweating since yesterday,heart_disease
Complains of fatigue and dry cough,covid-19
visual aura,migraine
"ear pain, hearing difficulty, ear drainage",otitis_media
sneezing for several months,common_cold
"Complains of nasal congestion, runny nose, itchy eyes, sneezing",allergic_rhinitis
sneezing,allergic_rhinitis
"moderate sensitivity to light, severe headache for several months",migraine
"body ache, sweating, shortness of breath",heart_disease
"nausea, visual aura, severe headache",migraine
mucus,bronchitis
"nausea, vomiting, blisters for several months",gastroenteritis
"restlessness, trembling",anxiety
"right lower abdominal pain, loss of appetite, nausea",appendicitis
"blisters, itchy skin, dry skin, red patches",eczema
fever,otitis_media
"sleep disturbance, dry skin, persistent sadness, loss of interest, fatigue",depression
"dry skin, red patches",eczema
shortness of breath,bronchitis
"stomach cramps, rapid heartbeat",gastroenteritis
dizziness,hypertension
"sleep disturbance, fatigue, loss of interest, diarrhea and persistent sadness",depression
"fatigue, sore throat, fever, body ache, chills, cough",influenza
"Patient reports runny nose, nasal congestion",allergic_rhinitis
frequent urination for 2 days,pneumonia
persistent cough and mucus for a week,bronchitis
"productive cough, chest pain",pneumonia
back pain for a week,osteoporosis
"severe headache, visual aura, nausea, sensitivity to light",migraine
"visual aura, nausea",migraine
"visual aura, nausea, sensitivity to light and severe headache",migraine
"runny nose, sneezing, nasal congestion",common_cold
"Patient reports severe vomiting, productive cough and shortness of breath",pneumonia
"trembling, restlessness, sweating, rapid heartbeat",anxiety
fever and loss of taste,covid-19
"chest pain, fever",pneumonia
sneezing,eczema
"dry cough, fever, fatigue, loss of smell",covid-19
nausea since yesterday,appendicitis
right lower abdominal pain,covid-19
"weight loss, blurred vision, fatigue, frequent urination, increased thirst",diabetes
"back pain, shortness of breath, bone pain",osteoporosis
sweating and shortness of breath,heart_disease
"chest pain, shortness of breath for a week",heart_disease
"fever, hearing difficulty, ear pain",otitis_media
"Complains of red patches, dry skin, blisters and itchy skin for several months",eczema
"mucus, sneezing, persistent cough, runny nose, shortness of breath, chest discomfort",bronchitis
severe headache,migraine
"nasal congestion, mild cough and runny nose",common_cold
"mild sensitivity to light, visual aura, severe headache",migraine
shortness of breath,anemia
"mild chest discomfort, headache, mucus, shortness of breath",bronchitis
night cough,asthma
severe headache,migraine
"fever, ear pain",otitis_media
chest tightness,asthma
"loss of interest, persistent sadness, sleep disturbance",depression
sneezing,migraine
"ear pain, hearing difficulty and ear drainage",otitis_media
"urgency, fever",pneumonia
"moderate fatigue, increased thirst, blurred vision, frequent urination for a week",diabetes
"nasal congestion, runny nose and itchy eyes",allergic_rhinitis
"Complains of shortness of breath, shortness of breath, left arm pain, chest pain and sweating",heart_disease
"diarrhea, nausea, vomiting, stomach cramps",gastroenteritis
"Patient reports chest discomfort, weight loss for several months",bronchitis
"chest pain, fever, productive cough for 2 days",pneumonia
increased thirst,anemia
"body ache, cough, sore throat, fever",influenza
hearing difficulty,otitis_media
"dizziness, sleep disturbance, loss of interest, fatigue",depression
Patient reports lower abdominal pain,urinary_tract_infection
"dry skin, itchy skin",eczema
"nasal congestion, sneezing, runny nose",allergic_rhinitis
"urgency, frequent urination, lower abdominal pain, burning urination",urinary_tract_infection
"fractures, back pain, nausea, loss of height, diarrhea and bone pain",osteoporosis
"shortness of breath, night cough, headache, chest tightness, blurred vision and wheezing",asthma
